Town_Town,PILOT StateOwned Real Property_FY 2017,PILOT StateOwned Real Property_FY 2018,PILOT Colleges  Hospitals_FY 2017,PILOT Colleges  Hospitals_FY 2018,Mashantucket Pequot And Mohegan Fund Grant_FY 2017,Mashantucket Pequot And Mohegan Fund Grant_FY 2018,Adult Education_FY 2017,Adult Education_FY 2018,Education Cost Sharing_FY 2017,Education Cost Sharing_FY 2018,MRSA Municipal Revenue Sharing Grant_FY 2017,MRSA Municipal Revenue Sharing Grant_FY 2018,MRSA Additional Payment in Lieu of Taxes_FY 2017,MRSA Additional Payment in Lieu of Taxes_FY 2018,MRSA Motor Vehicle Property Tax Grants_FY 2017,MRSA Motor Vehicle Property Tax Grants_FY 2018,TOTAL Statutory Formula Aid_FY 2017,TOTAL Statutory Formula Aid_FY 2018,Priority School District_FY 2017,Priority School District_FY 2018
Norfolk," 72,627 ",0," 44,716 ",0," 13,317 ",0, 268 , 240 ," 25,815 ", 0 ," 20,141 ",0, 0 ,0,0, 0 ," 176,884 ", 240 ,,0
North Branford, 0 ,0, 0 ,0," 42,037 ",0," 47,090 "," 41,720 "," 8,076,776 "," 807,678 "," 292,517 ",0, 0 ,0,0, 0 ," 8,458,420 "," 849,398 ",,0
North Canaan," 6,827 ",0, 0 ,0," 21,925 ",0, 0 , 0 ," 2,044,243 "," 408,849 "," 66,052 ",0," 4,203 ",0,0, 0 ," 2,143,250 "," 408,849 ",,0
North Haven," 2,621 ",0," 578,614 ",0," 151,159 ",0," 7,223 "," 6,692 "," 3,842,088 ", 0 ," 487,882 ",0, 0 ,0,0, 0 ," 5,069,587 "," 6,692 ",,0
North Stonington, 219 ,0, 0 ,0," 841,889 ",0," 7,961 "," 9,502 "," 2,834,470 "," 566,894 "," 107,832 ",0, 0 ,0,0, 0 ," 3,792,371 "," 576,396 ",,0
Norwalk," 31,982 ",0," 1,471,056 ",0," 816,834 ",0," 78,352 "," 78,645 "," 11,243,340 "," 11,243,340 "," 3,401,590 ",0, 0 ,0,0, 0 ," 17,043,154 "," 11,321,985 ",4497559.0,0
Norwich," 612,634 ",0," 758,666 ",0," 1,912,306 ",0," 323,371 "," 319,352 "," 36,209,664 "," 36,209,664 "," 1,309,943 ",0," 248,588 ",0,0," 363,092 "," 41,375,172 "," 36,892,108 ",1170742.0,0
Old Lyme, 146 ,0," 2,006 ",0," 14,487 ",0, 0 , 0 ," 247,462 ", 0 ," 79,946 ",0, 0 ,0,0, 0 ," 344,047 ", 0 ,,0
Old Saybrook, 0 ,0, 0 ,0," 14,601 ",0," 4,720 "," 4,652 "," 122,907 ", 0 ," 101,527 ",0, 0 ,0,0, 0 ," 243,755 "," 4,652 ",,0
Orange, 194 ,0," 151,773 ",0," 43,490 ",0, 0 , 0 ," 1,509,226 ", 0 ," 284,365 ",0, 0 ,0,0, 0 ," 1,989,048 ", 0 ,,0
Oxford," 163,743 ",0, 0 ,0," 25,388 ",0," 1,214 "," 1,395 "," 4,528,763 ", 0 ," 171,492 ",0, 0 ,0,0, 0 ," 4,890,600 "," 1,395 ",,0
Plainfield," 1,260 ",0," 34,410 ",0," 122,528 ",0," 107,902 "," 105,120 "," 15,364,444 "," 9,218,666 "," 310,350 ",0," 15,417 ",0,0, 0 ," 15,956,311 "," 9,323,786 ",,0
Plainville, 388 ,0, 0 ,0," 72,491 ",0," 122,743 "," 122,075 "," 10,272,197 "," 2,054,439 "," 363,176 ",0, 0 ,0,0, 0 ," 10,830,995 "," 2,176,514 ",,0
Plymouth, 458 ,0, 0 ,0," 69,784 ",0," 11,468 "," 11,411 "," 9,761,632 ", 0 ," 255,581 ",0, 0 ,0,0, 0 ," 10,098,923 "," 11,411 ",,0
Pomfret," 27,221 ",0, 0 ,0," 19,468 ",0," 6,015 "," 4,591 "," 3,073,015 "," 1,536,508 "," 54,257 ",0, 0 ,0,0, 0 ," 3,179,976 "," 1,541,099 ",,0
Portland, 199 ,0, 0 ,0," 27,715 ",0," 10,709 "," 10,945 "," 4,363,751 ", 0 ," 192,715 ",0, 0 ,0,0, 0 ," 4,595,089 "," 10,945 ",,0
Preston, 716 ,0, 0 ,0," 1,125,119 ",0," 20,780 "," 20,700 "," 3,012,017 "," 1,506,009 "," 58,934 ",0, 0 ,0,0, 0 ," 4,217,566 "," 1,526,709 ",,0
Prospect, 0 ,0, 0 ,0," 26,955 ",0, 0 , 0 ," 5,297,609 ", 0 ," 197,097 ",0, 0 ,0,0, 0 ," 5,521,661 ", 0 ,,0
Putnam, 0 ,0," 212,667 ",0," 103,555 ",0," 67,026 "," 65,727 "," 8,340,282 "," 8,340,282 "," 76,399 ",0, 0 ,0,0, 0 ," 8,799,929 "," 8,406,009 ",708991.0,0
Redding," 94,856 ",0, 0 ,0," 10,912 ",0, 554 , 547 ," 180,135 ", 0 ," 189,781 ",0, 0 ,0,0, 0 ," 476,238 ", 547 ,,0
Ridgefield," 2,087 ",0, 0 ,0," 14,143 ",0, 586 , 578 ," 571,648 ", 0 ," 512,848 ",0, 0 ,0,0, 0 ," 1,101,312 ", 578 ,,0
Rocky Hill," 774,861 ",0, 0 ,0," 268,992 ",0," 10,124 "," 9,694 "," 4,250,230 ", 0 ," 405,872 ",0, 0 ,0,0, 0 ," 5,710,079 "," 9,694 ",,0
Roxbury, 64 ,0, 0 ,0," 8,056 ",0, 0 , 0 ," 33,612 ", 0 ," 15,998 ",0, 0 ,0,0, 0 ," 57,730 ", 0 ,,0
